car_id,make,model,variant,raw_title,year_from,year_to,displacement_cc,cylinders,stock_hp,stock_torque_nm,weight_kg,drivetrain,transmission,engine_type,fuel_type,drag_coef,frontal_area_m2,top_speed_stock,top_speed_mph,zero_hundred_stock,co2_gkm,source_url
CAR_AFB64EAF,Audi,A4,14t fsi se 4d,Audi A4 Saloon1.4T FSI SE 4d Specs & dimensions,2015,,1395.0,4.0,147.0,250.0,1320.0,Front wheel drive,Manual,Naturally Aspirated,Petrol,,,209.2,130.0,8.4,126.0,https://www.parkers.co.uk/audi/a4/saloon-2015/14t-fsi-se-4d/specs/
CAR_7D2A3C99,Audi,A4,14t fsi se 5d,Audi A4 Avant1.4T FSI SE 5d Specs & dimensions,2015,,1395.0,4.0,147.0,250.0,1370.0,Front wheel drive,Manual,Naturally Aspirated,Petrol,,,209.2,130.0,8.7,131.0,https://www.parkers.co.uk/audi/a4/avant-2015/14t-fsi-se-5d/specs/
CAR_E22EBCFF,Audi,A4,20 tdi 190ps quattro s tronic auto (062017 on) 5d,Audi A4 Allroad2.0 TDI 190PS Quattro S Tronic auto (06/2017 on) 5d Specs & dimensions,2016,2017,1968.0,4.0,187.0,400.0,1640.0,4 wheel drive,Automatic,Diesel,Diesel,,,218.9,136.0,7.6,128.0,https://www.parkers.co.uk/audi/a4/allroad-2016/20-tdi-190ps-quattro-s-tronic-auto-(062017-on)-5d/specs/
CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,Audi A4 RS4 AvantRS 4 (Comfort and Sound Pack) 450PS Tiptronic auto 5d Specs & dimensions,2017,,2894.0,6.0,443.0,600.0,1745.0,4 wheel drive,Automatic,Turbocharged,Petrol,,,249.4,155.0,4.0,221.0,https://www.parkers.co.uk/audi/a4/rs4-avant-2017/rs-4-(comfort-and-sound-pack)-450ps-tiptronic-auto-5d/specs/
CAR_80CBDA93,Audi,A4,18t fsi (160bhp) black edition 4d,Audi A4 Saloon1.8T FSI (160bhp) Black Edition 4d Specs & dimensions,2008,,1798.0,4.0,157.0,250.0,1410.0,Front wheel drive,Manual,Naturally Aspirated,Petrol,,,225.3,140.0,8.3,164.0,https://www.parkers.co.uk/audi/a4/saloon-2008/18t-fsi-(160bhp)-black-edition-4d/specs/
CAR_C21F9A7E,Audi,A4,18t fsi (160bhp) black edition 5d,Audi A4 Avant1.8T FSI (160bhp) Black Edition 5d Specs & dimensions,2008,,1798.0,4.0,157.0,250.0,1470.0,Front wheel drive,Manual,Naturally Aspirated,Petrol,,,225.3,140.0,8.6,169.0,https://www.parkers.co.uk/audi/a4/avant-2008/18t-fsi-(160bhp)-black-edition-5d/specs/
CAR_16B6C33D,Audi,A4,20 tdi (190bhp) quattro 5d,Audi A4 Allroad2.0 TDI (190bhp) Quattro 5d Specs & dimensions,2009,,1968.0,4.0,187.0,400.0,1690.0,4 wheel drive,Manual,Diesel,Diesel,,,222.1,138.0,7.4,145.0,https://www.parkers.co.uk/audi/a4/allroad-2009/20-tdi-(190bhp)-quattro-5d/specs/
CAR_7D908350,Audi,A4,s4 quattro avant (2012) 5d s tronic,Audi A4 S4S4 Quattro Avant (2012) 5d S Tronic Specs & dimensions,2009,2012,2995.0,6.0,328.0,440.0,1750.0,4 wheel drive,Automatic,Naturally Aspirated,Petrol,,,249.4,155.0,4.9,180.0,https://www.parkers.co.uk/audi/a4/s4-2009/s4-quattro-avant-(2012)-5d-s-tronic/specs/
CAR_22D150BE,Audi,A4,42 fsi quattro 5d s tronic,Audi A4 RS4 Avant4.2 FSI Quattro 5d S Tronic Specs & dimensions,2012,,4163.0,8.0,443.0,430.0,1795.0,4 wheel drive,Automatic,Naturally Aspirated,Petrol,,,249.4,155.0,4.5,249.0,https://www.parkers.co.uk/audi/a4/rs4-avant-2012/42-fsi-quattro-5d-s-tronic/specs/
CAR_D2456324,Audi,A4,16 4d,Audi A4 Saloon1.6 4d Specs & dimensions,1995,,1595.0,4.0,101.0,140.0,1185.0,Front wheel drive,Manual,Naturally Aspirated,Petrol,,,191.5,119.0,11.5,197.0,https://www.parkers.co.uk/audi/a4/saloon-1995/16-4d/specs/
