car_id,make,model,variant,raw_title,year_from,year_to,displacement_cc,cylinders,stock_hp,stock_torque_nm,weight_kg,drivetrain,transmission,engine_type,fuel_type,drag_coef,frontal_area_m2,top_speed_stock,top_speed_mph,zero_hundred_stock,co2_gkm,source_url
CAR_AFB64EAF,Audi,A4,14t fsi se 4d,Audi A4 Saloon1.4T FSI SE 4d Specs & dimensions,2015,,1395.0,4.0,147.0,250.0,1320.0,Front wheel drive,Manual,Naturally Aspirated,Petrol,,,209.2,130.0,8.4,126.0,https://www.parkers.co.uk/audi/a4/saloon-2015/14t-fsi-se-4d/specs/
CAR_596EEA83,Audi,A4,14t fsi sport 4d,Audi A4 Saloon1.4T FSI Sport 4d Specs & dimensions,2015,,1395.0,4.0,147.0,250.0,1320.0,Front wheel drive,Manual,Naturally Aspirated,Petrol,,,209.2,130.0,8.4,126.0,https://www.parkers.co.uk/audi/a4/saloon-2015/14t-fsi-sport-4d/specs/
CAR_7D2A3C99,Audi,A4,14t fsi se 5d,Audi A4 Avant1.4T FSI SE 5d Specs & dimensions,2015,,1395.0,4.0,147.0,250.0,1370.0,Front wheel drive,Manual,Naturally Aspirated,Petrol,,,209.2,130.0,8.7,131.0,https://www.parkers.co.uk/audi/a4/avant-2015/14t-fsi-se-5d/specs/
CAR_0C34DF25,Audi,A4,14t fsi sport 5d,Audi A4 Avant1.4T FSI Sport 5d Specs & dimensions,2015,,1395.0,4.0,147.0,250.0,1370.0,Front wheel drive,Manual,Naturally Aspirated,Petrol,,,209.2,130.0,8.7,131.0,https://www.parkers.co.uk/audi/a4/avant-2015/14t-fsi-sport-5d/specs/
CAR_E22EBCFF,Audi,A4,20 tdi 190ps quattro s tronic auto (062017 on) 5d,Audi A4 Allroad2.0 TDI 190PS Quattro S Tronic auto (06/2017 on) 5d Specs & dimensions,2016,2017,1968.0,4.0,187.0,400.0,1640.0,4 wheel drive,Automatic,Diesel,Diesel,,,218.9,136.0,7.6,128.0,https://www.parkers.co.uk/audi/a4/allroad-2016/20-tdi-190ps-quattro-s-tronic-auto-(062017-on)-5d/specs/
CAR_40E0895B,Audi,A4,20 tdi 190ps quattro s tronic auto 5d,Audi A4 Allroad2.0 TDI 190PS Quattro S Tronic auto 5d Specs & dimensions,2016,,1968.0,4.0,187.0,400.0,1640.0,4 wheel drive,Automatic,Diesel,Diesel,,,218.9,136.0,7.6,128.0,https://www.parkers.co.uk/audi/a4/allroad-2016/20-tdi-190ps-quattro-s-tronic-auto-5d/specs/
CAR_FB848E81,Audi,A4,rs 4 (comfort and sound pack) 450ps tiptronic auto 5d,Audi A4 RS4 AvantRS 4 (Comfort and Sound Pack) 450PS Tiptronic auto 5d Specs & dimensions,2017,,2894.0,6.0,443.0,600.0,1745.0,4 wheel drive,Automatic,Turbocharged,Petrol,,,249.4,155.0,4.0,221.0,https://www.parkers.co.uk/audi/a4/rs4-avant-2017/rs-4-(comfort-and-sound-pack)-450ps-tiptronic-auto-5d/specs/
CAR_47ECC142,Audi,A4,rs 4 29 tfsi 450ps quattro tiptronic auto 5d,Audi A4 RS4 AvantRS 4 2.9 TFSI 450PS Quattro Tiptronic auto 5d Specs & dimensions,2017,,2894.0,6.0,443.0,600.0,1715.0,4 wheel drive,Automatic,Turbocharged,Petrol,,,249.4,155.0,4.0,199.0,https://www.parkers.co.uk/audi/a4/rs4-avant-2017/rs-4-29-tfsi-450ps-quattro-tiptronic-auto-5d/specs/
CAR_80CBDA93,Audi,A4,18t fsi (160bhp) black edition 4d,Audi A4 Saloon1.8T FSI (160bhp) Black Edition 4d Specs & dimensions,2008,,1798.0,4.0,157.0,250.0,1410.0,Front wheel drive,Manual,Naturally Aspirated,Petrol,,,225.3,140.0,8.3,164.0,https://www.parkers.co.uk/audi/a4/saloon-2008/18t-fsi-(160bhp)-black-edition-4d/specs/
CAR_3EFA3DC0,Audi,A4,18t fsi (160bhp) black edition 4d multitronic,Audi A4 Saloon1.8T FSI (160bhp) Black Edition 4d Multitronic Specs & dimensions,2008,,1798.0,4.0,157.0,250.0,1410.0,Front wheel drive,Automatic,Naturally Aspirated,Petrol,,,225.3,140.0,8.3,169.0,https://www.parkers.co.uk/audi/a4/saloon-2008/18t-fsi-(160bhp)-black-edition-4d-multitronic/specs/
